,respiratory_rate
0,26.211556383970176
0,20.98880597014925
0,22.88135593220339
0,10.177925211097708
0,12.881679389312978
0,20.936724565756823
0,29.485887096774192
0,21.50229357798165
0,19.852941176470587
0,16.70792079207921
0,23.46368715083799
0,22.225103254125536
0,24.213787566051934
0,23.539384683286688
0,19.215045963263353
0,22.410288812597074
0,30.670553226189245
0,17.22436530008074
0,11.787510477787091
0,10.196934739617665
0,16.492756122800966
0,13.071262587141751
0,16.742879319654428
0,17.226562500000004
